filename,width,height,brightness,contrast
2012-04-26-Muenchen-Tunnel_4K0G0130.JPG,5616,3744,104.78,54.05
2016-08-04-wacken-Satz3-links-L0214.jpg,5184,3456,96.0,50.43
2012-04-26-Muenchen-Tunnel_4K0G0051.JPG,5616,3744,86.13,47.13
2012-05-19-Champions-League-Final-rechts-R0202.jpg,5616,3744,118.87,43.76
2017-07-04-Munchen-Zentrum-rechts-R0089.jpg,5616,3744,81.39,48.77
2016-04-15-Messestadt-cam-mitte-R0199.jpg,5184,3456,118.25,33.43
2013-06-05-Hochwasser_dresden-mitte-N0021.jpg,5616,3744,106.98,37.33
2014-07-25-Chicago--mitte-S1053.jpg,5616,3744,85.79,47.76
2007-06-17-Muenchen-HYMAP-mitte-yp3x0368.jpg,4992,3328,190.0,44.53
2007-06-23-Camargue-mitte-YP3X0050.JPG,4992,3328,182.97,42.51
2017-04-20-Braunschweig-Frankfurt--mitte-4K0G1896.JPG,5616,3744,121.6,41.46
2018-06-04-HySpex-OP-original-mitte_4K0G0317.JPG,5616,3744,81.16,42.24
2017-07-04-Munchen-Zentrum-links-L0071.jpg,5616,3744,96.49,39.94
2006-05-03-Allianz-links-yr7e0006.jpg,4992,3328,107.62,49.92
2016-08-02-wolfsburg-rechts-R0060.jpg,5184,3456,107.06,44.16
2015-03-25-Elmau-mitte-4K0G0001.JPG,5616,3744,117.91,27.47
2017-07-18-Benchmark-Flug-1-Rechts-R0008_Eleo_N.jpg,5184,3456,95.38,39.4
2011-10-03-Crowd-bonn2011_gsd_200_N0100.jpg,5616,3744,97.35,39.06
2015-03-20-Karlsruhe-N-4K0G0272.JPG,5616,3744,121.4,41.63
2018-10-26-Freiham-A96-original-mitte_4K0G0203.JPG,5616,3744,106.65,31.36
2015-11-04-Magdeburg-L-L0606.jpg,5184,3456,94.28,36.77
2016-08-02-wolfsburg-links-L0169.jpg,5184,3456,95.77,49.01
2016-11-15-A8-A96-A7-Munchen-satz1-L-L4069.jpg,5184,3456,110.82,40.72
2013-08-02-Frankfurt-rechts-6B4G0292.JPG,5616,3744,106.82,46.93
2017-07-04-Munchen-Zentrum-links-L0029.jpg,5616,3744,100.34,41.77
2015-03-20-Karlsruhe-N-4K0G0139.JPG,5616,3744,124.35,40.81
2016-11-15-A8-A96-A7-Munchen-satz1-L-L0036.jpg,5184,3456,123.88,30.06
2018-09-27-Baustelle_L3406.jpg,5184,3456,113.51,57.59
2011-07-07-Tollwood--mitte-5V4B0094.JPG,5616,3744,109.75,50.12
2017-07-19-Benchmark-Flug_1-L-L4055_Eleo_N.jpg,5184,3456,90.0,48.46
2015-11-04-Magdeburg-R-R1565.jpg,5184,3456,29.05,21.34
2014-07-25-Chicago--mitte-S0268.jpg,5616,3744,85.25,31.16
2017-07-04-Munchen-Zentrum-links-L0157.jpg,5616,3744,103.1,41.12
2015-11-03-A99-Schweben-R-R0299.jpg,5184,3456,126.0,42.43
2017-04-20-Braunschweig-Frankfurt--mitte-4K0G0117.JPG,5616,3744,115.62,37.41
2017-07-04-Munchen-Zentrum-mitte-N0198.jpg,5616,3744,109.98,54.27
2016-02-PHAROS_SOLOSNA-2016-03-02-Solsona-links-L0108.jpg,5184,3456,122.11,42.72
2013-06-05-Hochwasser_dresden-mitte-N0896.jpg,5616,3744,119.0,41.24
2018-09-27-Baustelle_L0661.jpg,5184,3456,84.97,59.99
2016-08-02-wolfsburg-rechts-R0156.jpg,5184,3456,105.74,49.28
2017-04-20-Braunschweig-Frankfurt--links-6K7P0506.JPG,5616,3744,86.51,45.64
2017-07-03-Braunschweig-set2-N-4K0G0034.JPG,5616,3744,118.97,46.57
2013-06-28-Stuttgart-Feuerwehr-rechts-R0153.jpg,5616,3744,116.33,34.56
2018-10-04-Ampelkreuzungen_L0109.jpg,5184,3456,106.08,47.71
2017-07-03-Braunschweig-set1-N-4K0G0027.JPG,5616,3744,95.09,47.53
2018-05-07-HySpex-Augsburg--mitte-4K0G0141_invorstudie_aber_mit_allen_klassen.JPG,5616,3744,120.68,47.74
2017-04-20-Braunschweig-Frankfurt--mitte-4K0G0362.JPG,5616,3744,102.4,33.16
2008-11-27-Muenchen-Verkehr-mitte-yp3x0014.jpg,4992,3328,163.69,51.48
2015-11-03-A99-Schweben-R-R1523.jpg,5184,3456,99.23,48.64
2017-04-20-Braunschweig-Frankfurt--links-6K7P0017.JPG,5616,3744,99.35,53.4
2017-03-31-Fahrzeugtracking_Wolfratshausen--links-L0691.jpg,5184,3456,111.08,53.81
2012-05-19-Champions-League-Final-rechts-R0025.jpg,5616,3744,123.86,40.44
2015-04-09-OP-mitte-4K0G0183.JPG,5616,3744,105.03,54.08
