Filename,Path,Reason
final_train_2048_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_2048_left.txt,Starts with 1
final_train_659_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_659_left.txt,Does not start with 2
final_train_1387_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1387_left.txt,Starts with 1
final_train_658_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_658_left.txt,Starts with 1
final_train_1187_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1187_right.txt,Does not start with 2
final_train_1386_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1386_left.txt,Starts with 1
final_train_297_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_297_left.txt,Starts with 1
final_train_1714_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1714_right.txt,Does not start with 2
final_train_1749_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1749_left.txt,Starts with 1
final_train_1008_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1008_right.txt,Does not start with 2
final_train_296_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_296_left.txt,Starts with 1
final_train_49_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_49_right.txt,Does not start with 2
final_train_80_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_80_right.txt,Does not start with 2
final_train_228_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_228_right.txt,Does not start with 2
final_train_472_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_472_right.txt,Does not start with 2
final_train_1825_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1825_left.txt,Does not start with 2
final_train_644_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_644_right.txt,Does not start with 2
final_train_1824_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1824_left.txt,Starts with 1
final_train_537_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_537_left.txt,Starts with 1
final_train_1072_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1072_right.txt,Starts with 1
final_train_1558_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1558_right.txt,Does not start with 2
final_train_750_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_750_left.txt,Does not start with 2
final_train_536_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_536_left.txt,Starts with 1
final_train_1427_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1427_left.txt,Does not start with 2
final_train_1640_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1640_left.txt,Does not start with 2
final_train_1426_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1426_left.txt,Starts with 1
final_train_1134_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1134_right.txt,Starts with 1
final_train_913_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_913_right.txt,Does not start with 2
final_train_1173_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1173_left.txt,Does not start with 2
final_train_1314_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1314_left.txt,Does not start with 2
final_train_855_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_855_right.txt,Does not start with 2
final_train_33_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_33_right.txt,Starts with 1
final_train_252_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_252_right.txt,Does not start with 2
final_train_246_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_246_right.txt,Does not start with 2
final_train_122_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_122_left.txt,Starts with 1
final_train_344_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_344_left.txt,Does not start with 2
final_train_593_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_593_right.txt,Does not start with 2
final_train_2065_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_2065_right.txt,Starts with 1
final_train_123_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_123_left.txt,Starts with 1
final_train_300_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_300_right.txt,Starts with 1
final_train_1255_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1255_left.txt,Starts with 1
final_train_1033_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1033_left.txt,Starts with 1
final_train_907_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_907_right.txt,Starts with 1
final_train_136_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_136_right.txt,Does not start with 2
final_train_1700_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1700_left.txt,Does not start with 2
final_train_1566_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1566_left.txt,Starts with 1
final_train_81_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_81_left.txt,Does not start with 2
final_train_1066_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1066_right.txt,Does not start with 2
final_train_1585_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1585_right.txt,Does not start with 2
final_train_2001_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_2001_left.txt,Does not start with 2
final_train_476_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_476_left.txt,Starts with 1
final_train_80_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_80_left.txt,Does not start with 2
final_train_611_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_611_left.txt,Does not start with 2
final_train_1964_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1964_left.txt,Does not start with 2
final_train_1965_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1965_left.txt,Starts with 1
final_train_1793_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1793_left.txt,Does not start with 2
final_train_716_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_716_right.txt,Does not start with 2
final_train_682_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_682_left.txt,Starts with 1
final_train_520_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_520_right.txt,Does not start with 2
final_train_12_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_12_left.txt,Starts with 1
final_train_2092_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_2092_left.txt,Does not start with 2
final_train_683_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_683_left.txt,Does not start with 2
final_train_1608_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1608_left.txt,Starts with 1
final_train_1700_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1700_right.txt,Does not start with 2
final_train_1470_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1470_right.txt,Does not start with 2
final_train_1193_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1193_right.txt,Does not start with 2
final_train_718_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_718_left.txt,Does not start with 2
final_train_1646_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1646_right.txt,Does not start with 2
final_train_333_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_333_left.txt,Does not start with 2
final_train_154_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_154_left.txt,Starts with 1
final_train_332_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_332_left.txt,Does not start with 2
final_train_784_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_784_right.txt,Starts with 1
final_train_117_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_117_right.txt,Starts with 1
final_train_926_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_926_right.txt,Starts with 1
final_train_1223_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1223_left.txt,Starts with 1
final_train_321_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_321_right.txt,Starts with 1
final_train_1981_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1981_left.txt,Does not start with 2
final_train_1337_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1337_right.txt,Does not start with 2
final_train_1101_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1101_right.txt,Does not start with 2
final_train_1510_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1510_left.txt,Does not start with 2
final_train_2076_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_2076_left.txt,Does not start with 2
final_train_1047_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1047_right.txt,Does not start with 2
final_train_890_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_890_left.txt,Does not start with 2
final_train_1876_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1876_right.txt,Starts with 1
final_train_447_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_447_right.txt,Does not start with 2
final_train_1913_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1913_left.txt,Does not start with 2
final_train_995_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_995_right.txt,Does not start with 2
final_train_392_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_392_right.txt,Does not start with 2
final_train_671_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_671_right.txt,Starts with 1
final_train_1582_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1582_left.txt,Starts with 1
final_train_501_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_501_right.txt,Starts with 1
final_train_492_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_492_left.txt,Does not start with 2
final_train_802_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_802_left.txt,Does not start with 2
final_train_65_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_65_left.txt,Does not start with 2
final_train_737_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_737_right.txt,Does not start with 2
final_train_1721_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1721_right.txt,Does not start with 2
final_train_1889_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1889_left.txt,Starts with 1
final_train_1419_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1419_left.txt,Does not start with 2
final_train_1418_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1418_left.txt,Starts with 1
final_train_999_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_999_left.txt,Does not start with 2
final_train_1667_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1667_right.txt,Starts with 1
final_train_998_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_998_left.txt,Does not start with 2
final_train_1196_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1196_left.txt,Does not start with 2
final_train_1445_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1445_right.txt,Does not start with 2
final_train_1997_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1997_right.txt,Starts with 1
final_train_448_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_448_left.txt,Starts with 1
final_train_1197_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1197_left.txt,Does not start with 2
final_train_449_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_449_left.txt,Does not start with 2
final_train_1558_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1558_left.txt,Does not start with 2
final_train_1818_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1818_right.txt,Does not start with 2
final_train_1029_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1029_right.txt,Does not start with 2
final_train_209_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_209_right.txt,Does not start with 2
final_train_68_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_68_right.txt,Starts with 1
final_train_515_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_515_right.txt,Starts with 1
final_train_981_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_981_right.txt,Starts with 1
final_train_948_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_948_right.txt,Does not start with 2
final_train_453_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_453_right.txt,Does not start with 2
final_train_540_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_540_left.txt,Does not start with 2
final_train_727_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_727_left.txt,Does not start with 2
final_train_1636_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1636_left.txt,Does not start with 2
final_train_1115_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1115_right.txt,Does not start with 2
final_train_1924_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1924_right.txt,Does not start with 2
final_train_103_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_103_right.txt,Does not start with 2
final_train_429_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_429_right.txt,Does not start with 2
final_train_759_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_759_right.txt,Starts with 1
final_train_272_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_272_left.txt,Does not start with 2
final_train_680_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_680_right.txt,Does not start with 2
final_train_1465_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1465_left.txt,Does not start with 2
final_train_964_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_964_right.txt,Does not start with 2
final_train_1603_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1603_left.txt,Starts with 1
final_train_155_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_155_right.txt,Starts with 1
final_train_225_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_225_right.txt,Does not start with 2
final_train_44_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_44_right.txt,Starts with 1
final_train_7_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_7_left.txt,Starts with 1
final_train_575_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_575_left.txt,Starts with 1
final_train_1798_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1798_left.txt,Does not start with 2
final_train_246_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_246_left.txt,Does not start with 2
final_train_247_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_247_left.txt,Does not start with 2
final_train_1469_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1469_right.txt,Starts with 1
final_train_1972_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1972_right.txt,Does not start with 2
final_train_1357_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1357_left.txt,Does not start with 2
final_train_1131_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1131_left.txt,Starts with 1
final_train_775_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_775_right.txt,Does not start with 2
final_train_543_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_543_right.txt,Starts with 1
final_train_858_right.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_858_right.txt,Does not start with 2
final_train_1690_left.txt,../datasets/SkyFusion/final_train_v1/annotations/final_train_1690_left.txt,Starts with 1
